,Bond Index (Original),Bond Index (Adjusted),S&P 500 Index
2018-02-28,987.1835040964074,990.62688782268,961.0526203958482
2018-03-31,986.9001095076737,990.099919724971,935.2151879906934
2018-04-30,984.433819672184,988.0759603182088,937.7578519801261
2018-05-31,978.6534423663463,983.6677026282324,958.0212549711206
2018-06-30,981.2471859159905,985.2973492727266,962.6603772916733
2018-07-31,981.6489424448318,985.3935204997952,997.336931309118
2018-08-31,981.6680844473652,985.2491213335871,1027.519556910699
2018-09-30,975.9351928443459,980.9039548580728,1031.9320350873468
2018-10-31,969.3668611435005,976.0709915092009,960.3124856134091
2018-11-30,971.0181816131637,977.1162824648444,977.4630729404602
2018-12-31,984.5784524028296,986.7550404739874,887.7544877311152
2019-01-31,990.9790310033062,991.4894347315484,957.6069211455446
2019-02-28,992.9059961785082,992.9436520503025,986.0755504088448
2019-03-31,998.6215030719661,997.1219323531968,1003.7502523186758
2019-04-30,1000.7804465584557,998.8297499292114,1043.2111225613621
2019-05-31,1007.5956467481404,1003.8258082258302,974.5910666794153
2019-06-30,1025.6891357059144,1017.4400112762407,1041.7698074587172
2019-07-31,1026.1201084881238,1017.8490950336942,1055.4463650174764
2019-08-31,1046.8779406616652,1032.7146670167615,1036.3515958934915
2019-09-30,1042.9957423034573,1029.9375394762476,1054.1573264490173
2019-10-31,1044.0966770415064,1031.3087058927663,1075.6956027494768
2019-11-30,1038.8998334776463,1027.821239173702,1112.3198798786038
2019-12-31,1036.6196246568204,1026.3117700254973,1144.1208863202555
2020-01-31,1042.2044381667245,1030.260181274403,1142.2581547625373
2020-02-29,1055.6324088312574,1039.8825574369214,1046.1822856353651
2020-03-31,1094.9232282265234,1070.315018111964,915.2846685860595
2020-04-30,1106.7231683628452,1078.8480453739278,1031.383131301327
2020-05-31,1107.5691096385292,1079.5544469747813,1078.0859902047237
2020-06-30,1105.527704240144,1078.163233648125,1097.9102701669026
2020-07-31,1110.593705830703,1081.6611638379543,1158.4065500157594
2020-08-31,1109.8927541770179,1081.289291638561,1239.5699427369411
2020-09-30,1108.9020994410184,1080.6458712280444,1190.9441499251016
2020-10-31,1103.7413887117204,1077.1669287588059,1157.9957575049318
2020-11-30,1100.0604160856215,1074.715178156603,1282.5331732659074
2020-12-31,1098.1699705547235,1073.5486557376505,1330.1426087449233
2021-01-31,1091.999941827697,1069.4202915381911,1315.329289151891
2021-02-28,1084.3685404812043,1064.3745914616297,1349.6481703797358
2021-03-31,1067.3079977144546,1052.6859022798367,1406.9253951221935
2021-04-30,1065.5929303054616,1051.5549949350598,1480.6838987042336
2021-05-31,1067.1011393109127,1052.648492848195,1488.8076747373236
2021-06-30,1069.7775440266678,1054.3107434223816,1521.8800131736914
2021-07-31,1077.835337733945,1059.7124449651415,1556.4999061551598
2021-08-31,1078.9391556270732,1060.4510853695106,1601.6233386807196
2021-09-30,1074.1214618776094,1057.1038644927426,1525.435493181199
2021-10-31,1062.1351811400464,1048.7089931084377,1630.9100116509262
2021-11-30,1060.6591651367892,1047.3656069791589,1617.3184456461313
2021-12-31,1062.481782260408,1048.137698251953,1687.8543528070243
2022-01-31,1046.2694762935023,1036.1599849295385,1599.0983812650295
2022-02-28,1034.158761682523,1026.3253101002363,1548.9498231113291
2022-03-31,1021.0530880427941,1016.1210662874346,1604.3607749813207
2022-04-30,988.2598203197474,991.6240515161763,1463.2464648825537
2022-05-31,981.7577455727275,986.6421323353071,1463.3243738070207
2022-06-30,967.2306757415172,974.6990875645199,1340.522202272817
2022-07-31,977.365711416395,980.8208189470195,1462.665689263797
2022-08-31,975.3082200727749,978.5967392000942,1400.5899830371031
2022-09-30,944.0759607232222,954.9334648805407,1269.78089885651
2022-10-31,921.7125615032753,937.6477414985137,1371.1899879949435
2022-11-30,925.4633585600269,939.5691494711709,1444.8953718557557
2022-12-31,938.2948042031046,948.8420720075334,1359.6877976917717
2023-01-31,942.9070358280005,952.1101626677065,1443.6523703790274
2023-02-28,930.9039189796532,942.9197116618562,1405.955074881101
2023-03-31,936.1661381891181,947.3328826227231,1455.2360109214153
2023-04-30,946.7290091371946,954.8857334750428,1476.544101763221
2023-05-31,942.1941903828612,951.1346544883129,1480.2093625279326
2023-06-30,929.9587179101212,941.4577120872043,1576.0196330489662
2023-07-31,922.2334258385246,935.6110445927046,1625.0951728338669
2023-08-31,912.1449609995971,928.534964630484,1596.3042839284517
2023-09-30,903.3780794296854,922.1343645053386,1518.5334707363463
2023-10-31,887.9526836473918,911.2803284249637,1485.1565792316062
2023-11-30,900.8428455816352,920.8719367058494,1617.6017508260122
2023-12-31,922.9646112648894,937.5174803989554,1689.146932690231
